Brand Name,Frequency,Timing,Available in London,Rating for Vishen,Feb 2026,Claude,Pill Dosage,Ingredients,Supplement Uses (from Ingredients),Nov25,Dec 2025,Case,Notes,Suggested Dose,Website,Image,Uses,Synergies,Don't Take With,Synergistic
5-HTP,When Needed,🌟 Mood,Have it,7,checked,,50mg,5-HTP,🌿 Stress / Mood Modulators,checked,,,"Here’s your structured breakdown for 5-HTP (5-Hydroxytryptophan) 👇

1. What it Does

Direct precursor to serotonin → boosts mood, reduces anxiety.

Converts downstream to melatonin → supports sleep onset and circadian rhythm.

May reduce appetite and carb cravings (serotonin regulates satiety).

For you: helps with sleep depth, mood balance, and fat loss appetite control.

2. Synergies

✅ Magnesium + Glycine + Ashwagandha + GABA → amplifies sleep quality.

✅ Theanine → smooths serotonin increase for calm focus.

✅ Vitamin B6 → cofactor for serotonin/melatonin conversion.

✅ Collagen + Glycine → indirect synergy, since glycine also improves sleep.

3. What NOT to Take it With

❌ SSRIs or antidepressants → risk of serotonin syndrome (dangerously high serotonin).

❌ High-dose tryptophan supplements → redundancy, overshooting serotonin.

❌ Combining with all other calming aids at max dose (GABA + Ashwagandha + Magnesium + Theanine) → may cause morning grogginess.

4. Timing & Why

30–60 min before bed → supports serotonin → melatonin conversion → better sleep onset.

Can also be used early evening with dinner if mood/appetite control is main goal.

Take with a light snack (not heavy protein), since amino acids compete for absorption.

5. Suggested Dosage (for you)

100–200 mg nightly.

Start with 100 mg, scale up to 200 mg if sleep/mood needs it.

6. Frequency

As needed — best used during stressful phases, poor sleep cycles, or fat-loss phases with carb cravings.

Can be used daily, but I recommend rotation with your other sleep tools (Magnesium, Glycine, Ashwagandha, GABA, Theanine).

7. Best Category

🌙 Recovery / Sleep (primary)
🌿 Stress / Mood Modulators (secondary).

🎯 Rating for You

7 / 10

👉 5-HTP is a good tool, but not essential daily. You already have a strong sleep/recovery foundation (Magnesium + Glycine + Ashwagandha). Use 5-HTP on-demand for:

Jet lag nights,

High-stress phases,

Fat-loss carb cravings,
rather than as a nightly anchor.",,,,🌿 Stress / Mood Modulators,,,
Gaba,When Needed,🌟 Mood,Have it,7,checked,,500mg,GABA,🌿 Stress / Mood Modulators,checked,checked,,"Here’s your structured breakdown for GABA (Gamma-Aminobutyric Acid) 👇

1. What it Does

Primary inhibitory neurotransmitter in the brain → promotes relaxation and calm.

Helps reduce anxiety, stress, and nervous system hyperactivity.

Supports falling asleep faster and deeper sleep.

May improve growth hormone release when taken before sleep (supports muscle recovery).

For you: supports nervous system balance, sleep depth, and healing recovery.

2. Synergies

✅ Magnesium Glycinate/Taurate/Threonate → enhances calming effect.

✅ Glycine + 5-HTP + Ashwagandha → full sleep stack synergy.

✅ Theanine → promotes relaxed focus during the day if taken together in lower doses.

3. What NOT to Take it With

❌ Avoid combining with alcohol or sedative drugs → excessive CNS depression.

❌ High doses + other strong sleep aids (like 5-HTP + melatonin + GABA) may cause morning grogginess.

⚠️ Oral GABA has limited brain penetration; benefits are often from gut-brain signaling (still effective for calming).

4. Timing & Why

30–60 min before bed → improves relaxation and sleep onset.

Can also be used in the afternoon or evening if stress/anxiety spikes.

Take with or without food — absorption isn’t strongly affected by meals.

5. Suggested Dosage (for you)

100–500 mg per serving.

For you: 100–200 mg nightly with magnesium + glycine (baseline).

Up to 500 mg on stressful days or when sleep is disrupted.

6. Frequency

As needed (use on nights you need deeper calm).

Can be used daily at low doses for sleep, but best to rotate with other calming aids (glycine, ashwagandha, theanine).

7. Best Category

🌙 Recovery / Sleep (primary)
🌬️ Breath & Nervous System Regulators (secondary).

🎯 Rating for You

7 / 10

👉 GABA is helpful for sleep and relaxation, but not essential daily since you already have Magnesium + Glycine + Ashwagandha (all strong calming agents). Think of GABA as an “on-demand tool” for nights of high stress, overtraining, or jet lag, rather than a core daily driver.",100mg,,,🌿 Stress / Mood Modulators,,,
Mindvalley States Focus,When Needed,🌟 Mood,Have it,9,checked,,"enfinity® (Paraxanthine) (300mg)
A cleaner, more focused energy source than caffeine, without the jitters.

L-Tyrosine (500mg)
Supports dopamine production for sustained mental performance.

PEAK ATP® (400mg)
Boosts cellular energy to enhance cognitive endurance.

GeniusPure™ (Alpha GPC 70%) (300mg)
A powerful nootropic that improves memory and learning.

L-Theanine (100mg)
Enhances calm concentration, keeping your focus razor-sharp
","Paraxanthine,L-Tyrosine,Peak ATP (Adenosine 5-Triphosphate Disodium),Geniuspure Alpha-GPC,L-Theanine","🛡️ Antioxidants / Detox,🧠 Nootropics / Cognitive,🌿 Stress / Mood Modulators",,,,,"200-300mg per serving. , 100–150 mg/kg of bodyweight, 400g, cognitive health 1,200 mg for boosting power output (300mg alone doubles focus in studies)
300-600mg (30 - 60min before exercise).  Studies show increased strenght and muscle fibre recruitment before gym. , 200mg",,,,,,
DHM (Dihydromyricetin,When Needed,🍷 Detox,Have it,9,checked,,,,,,,,,,,,,,,
Glutathione,When Needed,🍷 Detox,Have it,9,checked,,,,,,,,,,,,,,,
Milk Thistle,When Needed,🍷 Detox,Ordered,8,checked,,,Milk Thistle,🧹 Liver & Detox Pathways,,,,,140 to 420 milligrams (mg) of standardized extract per day.,,,,,,
Activated Charcoal,When Needed,⚕️Health,Have it,6,checked,,,,,,,,,,,,,,,
Curcumin,When Needed,⚕️Health,Have it,7,checked,,500m,Curcumin Phytosome,"🧪 Immune & Inflammation Control,🦶 Feet Injury",checked,checked,,"1. What it Does

Potent anti-inflammatory → blocks NF-κB pathway, lowering chronic inflammation.

Antioxidant → scavenges free radicals, supports recovery from training.

Protects joints, tendons, and connective tissue.

Supports liver health and gut barrier integrity.

May enhance insulin sensitivity and reduce LDL oxidation.

2. Synergies

✅ Piperine (black pepper extract) → boosts absorption of curcumin.

✅ Omega-3 → synergistic anti-inflammatory effect.

✅ Collagen + Glycine → joint/tendon healing + inflammation control.

✅ ALA + NAC + Selenium → multiplies antioxidant defense.

3. What NOT to Take it With

❌ High-dose blood thinners (warfarin, aspirin) → curcumin already thins blood.

❌ Take away from iron supplements → curcumin can chelate iron.

⚠️ If stacked with many strong antioxidants (ALA, resveratrol, astaxanthin) around workouts, may slightly blunt training adaptation.

4. Timing & Why

With food (especially fat-containing meals) → curcumin is fat-soluble, absorption is much higher.

Best taken morning or lunch → reduces daytime inflammation and joint stiffness.

Avoid late evening if you’re sensitive, as it can mildly stimulate.

5. Suggested Dosage (for you)

500–1000 mg/day of Curcumin Phytosome (Meriva® form is common).

Split into 2 doses (500 mg AM + 500 mg PM) if you want continuous anti-inflammatory coverage.

6. Frequency

Daily, especially during your fat loss + foot healing phase.

Long-term safe, but you can cycle down once inflammation markers are stable.

7. Best Category

🧪 Immune & Inflammation Control (primary)
🦶 Feet Injury (secondary, since tendon/joint recovery and inflammation control are central).

🎯 Rating for You

9 / 10

👉 Very important right now: helps with foot healing, reduces training inflammation, protects joints as you push hypertrophy, and supports aesthetic skin/longevity indirectly by keeping systemic inflammation low.",,,,,"Omega-3,Glycine,Collagen",,
Stemregen 1,When Needed,⚕️Health,Have it,7,checked,,,,,checked,,,,,,,,,,
Stemregen 2,When Needed,⚕️Health,Have it,8,checked,,,,,checked,,,,,,,,,,
